Epoch:38 | loss:1.30 | acc:0.5422 | prec0:0.5342 | prec1:0.5116 | prec2:0.5909 | recall0:0.4937  | recall1:0.6667 | recall2:0.4875
Epoch:39 | loss:0.80 | acc:0.5244 | prec0:0.5125 | prec1:0.5455 | prec2:0.5190 | recall0:0.5190  | recall1:0.5455 | recall2:0.5125
Epoch:40 | loss:0.96 | acc:0.5378 | prec0:0.5152 | prec1:0.4828 | prec2:0.6250 | recall0:0.4304  | recall1:0.6364 | recall2:0.5625
Epoch:41 | loss:1.05 | acc:0.5556 | prec0:0.5146 | prec1:0.6458 | prec2:0.5541 | recall0:0.6709  | recall1:0.4697 | recall2:0.5125
Epoch:42 | loss:0.78 | acc:0.5289 | prec0:0.6216 | prec1:0.4370 | prec2:0.6377 | recall0:0.2911  | recall1:0.7879 | recall2:0.5500
Epoch:43 | loss:0.99 | acc:0.5467 | prec0:0.5352 | prec1:0.5000 | prec2:0.6176 | recall0:0.4810  | recall1:0.6515 | recall2:0.5250
Epoch:44 | loss:0.98 | acc:0.5378 | prec0:0.5233 | prec1:0.5410 | prec2:0.5513 | recall0:0.5696  | recall1:0.5000 | recall2:0.5375
Epoch:45 | loss:0.85 | acc:0.5333 | prec0:0.5625 | prec1:0.4828 | prec2:0.5676 | recall0:0.4557  | recall1:0.6364 | recall2:0.5250
Epoch:46 | loss:1.07 | acc:0.5422 | prec0:0.6000 | prec1:0.4571 | prec2:0.6286 | recall0:0.3797  | recall1:0.7273 | recall2:0.5500
Epoch:47 | loss:1.00 | acc:0.5867 | prec0:0.5714 | prec1:0.5692 | prec2:0.6232 | recall0:0.6582  | recall1:0.5606 | recall2:0.5375
Epoch:48 | loss:0.82 | acc:0.5689 | prec0:0.5844 | prec1:0.5063 | prec2:0.6232 | recall0:0.5696  | recall1:0.6061 | recall2:0.5375
Epoch:49 | loss:1.28 | acc:0.5556 | prec0:0.5634 | prec1:0.4941 | prec2:0.6232 | recall0:0.5063  | recall1:0.6364 | recall2:0.5375
0.5401709401709401
Epoch:0 | loss:1.03 | acc:0.4667 | prec0:0.4891 | prec1:1.0000 | prec2:0.4470 | recall0:0.5696  | recall1:0.0152 | recall2:0.7375
Epoch:1 | loss:1.02 | acc:0.4400 | prec0:0.5122 | prec1:0.3375 | prec2:0.4904 | recall0:0.2658  | recall1:0.4091 | recall2:0.6375
Epoch:2 | loss:1.18 | acc:0.4667 | prec0:0.4643 | prec1:0.3656 | prec2:0.5921 | recall0:0.3291  | recall1:0.5152 | recall2:0.5625
Epoch:3 | loss:1.17 | acc:0.5067 | prec0:0.5128 | prec1:0.4211 | prec2:0.5556 | recall0:0.5063  | recall1:0.3636 | recall2:0.6250
Epoch:4 | loss:1.22 | acc:0.4756 | prec0:0.5312 | prec1:0.3770 | prec2:0.6197 | recall0:0.2152  | recall1:0.6970 | recall2:0.5500
Epoch:5 | loss:0.93 | acc:0.5244 | prec0:0.5000 | prec1:0.5135 | prec2:0.5568 | recall0:0.6329  | recall1:0.2879 | recall2:0.6125
Epoch:6 | loss:1.14 | acc:0.4844 | prec0:0.4861 | prec1:0.4507 | prec2:0.5122 | recall0:0.4430  | recall1:0.4848 | recall2:0.5250
Epoch:7 | loss:0.98 | acc:0.5289 | prec0:0.5172 | prec1:0.4658 | prec2:0.6154 | recall0:0.5696  | recall1:0.5152 | recall2:0.5000
Epoch:8 | loss:1.08 | acc:0.5289 | prec0:0.6383 | prec1:0.4396 | prec2:0.5632 | recall0:0.3797  | recall1:0.6061 | recall2:0.6125
Epoch:9 | loss:1.23 | acc:0.5733 | prec0:0.5769 | prec1:0.5493 | prec2:0.5921 | recall0:0.5696  | recall1:0.5909 | recall2:0.5625
Epoch:10 | loss:1.61 | acc:0.5511 | prec0:0.6207 | prec1:0.4943 | prec2:0.5625 | recall0:0.4557  | recall1:0.6515 | recall2:0.5625
Epoch:11 | loss:1.06 | acc:0.5600 | prec0:0.5000 | prec1:0.5556 | prec2:0.6613 | recall0:0.6329  | recall1:0.5303 | recall2:0.5125
Epoch:12 | loss:1.05 | acc:0.5600 | prec0:0.4762 | prec1:0.6571 | prec2:0.6719 | recall0:0.7595  | recall1:0.3485 | recall2:0.5375
Epoch:13 | loss:0.78 | acc:0.5244 | prec0:0.5211 | prec1:0.4545 | prec2:0.6212 | recall0:0.4684  | recall1:0.6061 | recall2:0.5125
Epoch:14 | loss:1.20 | acc:0.5644 | prec0:0.4878 | prec1:0.6905 | prec2:0.6333 | recall0:0.7595  | recall1:0.4394 | recall2:0.4750
Epoch:15 | loss:1.15 | acc:0.5200 | prec0:0.5000 | prec1:0.4607 | prec2:0.6081 | recall0:0.3924  | recall1:0.6212 | recall2:0.5625
Epoch:16 | loss:1.22 | acc:0.5378 | prec0:0.5410 | prec1:0.4842 | prec2:0.6087 | recall0:0.4177  | recall1:0.6970 | recall2:0.5250
Epoch:17 | loss:0.70 | acc:0.5822 | prec0:0.5333 | prec1:0.5873 | prec2:0.6389 | recall0:0.6076  | recall1:0.5606 | recall2:0.5750
Epoch:18 | loss:1.29 | acc:0.5378 | prec0:0.5873 | prec1:0.4574 | prec2:0.6029 | recall0:0.4684  | recall1:0.6515 | recall2:0.5125
Epoch:19 | loss:0.98 | acc:0.5511 | prec0:0.4949 | prec1:0.5522 | prec2:0.6441 | recall0:0.6203  | recall1:0.5606 | recall2:0.4750
