Epoch:40 | loss:1.05 | acc:0.4178 | prec0:0.3895 | prec1:0.4444 | prec2:0.4328 | recall0:0.5211  | recall1:0.3500 | recall2:0.3919
Epoch:41 | loss:1.11 | acc:0.3911 | prec0:0.3868 | prec1:0.4000 | prec2:0.3936 | recall0:0.5775  | recall1:0.1250 | recall2:0.5000
Epoch:42 | loss:1.16 | acc:0.3822 | prec0:0.3543 | prec1:0.5200 | prec2:0.3836 | recall0:0.6338  | recall1:0.1625 | recall2:0.3784
Epoch:43 | loss:1.11 | acc:0.3422 | prec0:0.3750 | prec1:0.3529 | prec2:0.3373 | recall0:0.0423  | recall1:0.2250 | recall2:0.7568
Epoch:44 | loss:1.10 | acc:0.3689 | prec0:0.3281 | prec1:0.5652 | prec2:0.3551 | recall0:0.2958  | recall1:0.1625 | recall2:0.6622
Epoch:45 | loss:1.02 | acc:0.3600 | prec0:0.4000 | prec1:0.5000 | prec2:0.3315 | recall0:0.0282  | recall1:0.2250 | recall2:0.8243
Epoch:46 | loss:1.14 | acc:0.3644 | prec0:nan | prec1:0.4643 | prec2:0.3314 | recall0:0.0000  | recall1:0.3250 | recall2:0.7568
Epoch:47 | loss:1.03 | acc:0.3556 | prec0:nan | prec1:0.4118 | prec2:0.3312 | recall0:0.0000  | recall1:0.3500 | recall2:0.7027
Epoch:48 | loss:1.12 | acc:0.3556 | prec0:0.2000 | prec1:0.4429 | prec2:0.3200 | recall0:0.0141  | recall1:0.3875 | recall2:0.6486
Epoch:49 | loss:1.09 | acc:0.3733 | prec0:0.3571 | prec1:0.4500 | prec2:0.3444 | recall0:0.0704  | recall1:0.3375 | recall2:0.7027
0.3708641975308642
Epoch:0 | loss:1.16 | acc:0.3556 | prec0:0.4211 | prec1:0.3038 | prec2:0.3780 | recall0:0.1127  | recall1:0.3000 | recall2:0.6486
Epoch:1 | loss:1.11 | acc:0.3600 | prec0:nan | prec1:0.3632 | prec2:0.3077 | recall0:0.0000  | recall1:0.9625 | recall2:0.0541
Epoch:2 | loss:1.10 | acc:0.3644 | prec0:0.0000 | prec1:0.3806 | prec2:0.3563 | recall0:0.0000  | recall1:0.6375 | recall2:0.4189
Epoch:3 | loss:1.10 | acc:0.3289 | prec0:0.3684 | prec1:0.3218 | prec2:0.3086 | recall0:0.2958  | recall1:0.3500 | recall2:0.3378
Epoch:4 | loss:1.08 | acc:0.3556 | prec0:0.3529 | prec1:0.3086 | prec2:0.3858 | recall0:0.0845  | recall1:0.3125 | recall2:0.6622
Epoch:5 | loss:1.10 | acc:0.3511 | prec0:nan | prec1:0.3508 | prec2:0.3529 | recall0:0.0000  | recall1:0.8375 | recall2:0.1622
Epoch:6 | loss:1.07 | acc:0.3733 | prec0:0.3645 | prec1:0.3868 | prec2:0.3333 | recall0:0.5493  | recall1:0.5125 | recall2:0.0541
Epoch:7 | loss:1.28 | acc:0.3689 | prec0:0.3562 | prec1:0.3810 | prec2:0.4054 | recall0:0.7324  | recall1:0.2000 | recall2:0.2027
Epoch:8 | loss:1.11 | acc:0.3422 | prec0:0.3529 | prec1:0.3404 | prec2:0.3421 | recall0:0.0845  | recall1:0.4000 | recall2:0.5270
Epoch:9 | loss:1.15 | acc:0.3956 | prec0:0.3784 | prec1:0.3750 | prec2:0.4211 | recall0:0.3944  | recall1:0.2625 | recall2:0.5405
Epoch:10 | loss:1.17 | acc:0.3911 | prec0:0.4151 | prec1:0.4026 | prec2:0.3684 | recall0:0.3099  | recall1:0.3875 | recall2:0.4730
Epoch:11 | loss:1.13 | acc:0.4044 | prec0:nan | prec1:0.3768 | prec2:0.4483 | recall0:0.0000  | recall1:0.6500 | recall2:0.5270
Epoch:12 | loss:1.10 | acc:0.3467 | prec0:0.3125 | prec1:0.3564 | prec2:0.3426 | recall0:0.0704  | recall1:0.4500 | recall2:0.5000
Epoch:13 | loss:1.08 | acc:0.3467 | prec0:0.3585 | prec1:0.2174 | prec2:0.3646 | recall0:0.5352  | recall1:0.0625 | recall2:0.4730
Epoch:14 | loss:1.10 | acc:0.3556 | prec0:0.3362 | prec1:0.3333 | prec2:0.3830 | recall0:0.5493  | recall1:0.0625 | recall2:0.4865
Epoch:15 | loss:1.19 | acc:0.3600 | prec0:0.3383 | prec1:nan | prec2:0.3913 | recall0:0.6338  | recall1:0.0000 | recall2:0.4865
Epoch:16 | loss:1.12 | acc:0.4044 | prec0:0.3540 | prec1:0.6250 | prec2:0.4271 | recall0:0.5634  | recall1:0.1250 | recall2:0.5541
Epoch:17 | loss:1.08 | acc:0.4311 | prec0:0.3971 | prec1:0.5854 | prec2:0.3966 | recall0:0.3803  | recall1:0.3000 | recall2:0.6216
Epoch:18 | loss:1.11 | acc:0.4667 | prec0:0.4767 | prec1:0.4769 | prec2:0.4459 | recall0:0.5775  | recall1:0.3875 | recall2:0.4459
Epoch:19 | loss:1.08 | acc:0.4489 | prec0:0.4255 | prec1:0.4545 | prec2:0.5000 | recall0:0.5634  | recall1:0.5625 | recall2:0.2162
Epoch:20 | loss:1.07 | acc:0.4578 | prec0:0.5319 | prec1:0.4403 | prec2:0.4211 | recall0:0.3521  | recall1:0.8750 | recall2:0.1081
Epoch:21 | loss:1.12 | acc:0.4933 | prec0:0.4457 | prec1:0.5506 | prec2:0.4773 | recall0:0.5775  | recall1:0.6125 | recall2:0.2838
Epoch:22 | loss:1.00 | acc:0.4578 | prec0:0.4348 | prec1:0.6061 | prec2:0.4286 | recall0:0.7042  | recall1:0.2500 | recall2:0.4459
Epoch:23 | loss:0.97 | acc:0.4489 | prec0:0.4872 | prec1:0.4268 | prec2:0.5172 | recall0:0.2676  | recall1:0.8375 | recall2:0.2027
Epoch:24 | loss:1.09 | acc:0.4444 | prec0:0.4500 | prec1:0.6034 | prec2:0.3701 | recall0:0.2535  | recall1:0.4375 | recall2:0.6351
Epoch:25 | loss:0.97 | acc:0.4933 | prec0:0.4528 | prec1:0.5581 | prec2:0.4545 | recall0:0.6761  | recall1:0.6000 | recall2:0.2027
Epoch:26 | loss:1.11 | acc:0.3467 | prec0:0.0000 | prec1:0.3555 | prec2:0.2308 | recall0:0.0000  | recall1:0.9375 | recall2:0.0405
Epoch:27 | loss:1.11 | acc:0.3867 | prec0:0.3125 | prec1:0.4000 | prec2:0.3860 | recall0:0.0704  | recall1:0.4750 | recall2:0.5946
Epoch:28 | loss:1.13 | acc:0.3333 | prec0:0.3500 | prec1:0.3273 | prec2:nan | recall0:0.2958  | recall1:0.6750 | recall2:0.0000
Epoch:29 | loss:1.11 | acc:0.4000 | prec0:0.3596 | prec1:0.4151 | prec2:0.4337 | recall0:0.4507  | recall1:0.2750 | recall2:0.4865
Epoch:30 | loss:1.08 | acc:0.3111 | prec0:0.3529 | prec1:0.3229 | prec2:0.2842 | recall0:0.1690  | recall1:0.3875 | recall2:0.3649
