Epoch:0 | loss:1.14 | acc:0.3467 | prec0:0.5238 | prec1:0.0000 | prec2:0.3367 | recall0:0.1375  | recall1:0.0000 | recall2:0.9571
Epoch:1 | loss:1.10 | acc:0.3956 | prec0:0.3617 | prec1:0.3590 | prec2:0.4918 | recall0:0.2125  | recall1:0.5600 | recall2:0.4286
Epoch:2 | loss:1.06 | acc:0.4311 | prec0:0.4714 | prec1:0.3585 | prec2:0.4412 | recall0:0.4125  | recall1:0.2533 | recall2:0.6429
Epoch:3 | loss:1.11 | acc:0.4133 | prec0:0.4459 | prec1:0.3617 | prec2:0.4135 | recall0:0.4125  | recall1:0.2267 | recall2:0.6143
Epoch:4 | loss:1.03 | acc:0.4311 | prec0:0.4667 | prec1:0.3924 | prec2:0.4419 | recall0:0.3500  | recall1:0.4133 | recall2:0.5429
Epoch:5 | loss:1.09 | acc:0.4089 | prec0:0.4211 | prec1:0.3529 | prec2:0.4071 | recall0:0.5000  | recall1:0.0800 | recall2:0.6571
Epoch:6 | loss:1.09 | acc:0.4533 | prec0:0.4468 | prec1:0.4157 | prec2:0.5476 | recall0:0.5250  | recall1:0.4933 | recall2:0.3286
Epoch:7 | loss:0.94 | acc:0.4311 | prec0:0.4571 | prec1:0.4130 | prec2:0.4220 | recall0:0.4000  | recall1:0.2533 | recall2:0.6571
Epoch:8 | loss:0.93 | acc:0.3911 | prec0:0.3896 | prec1:0.3548 | prec2:0.4186 | recall0:0.3750  | recall1:0.2933 | recall2:0.5143
Epoch:9 | loss:1.13 | acc:0.4444 | prec0:0.4545 | prec1:0.4091 | prec2:0.4756 | recall0:0.3125  | recall1:0.4800 | recall2:0.5571
Epoch:10 | loss:0.97 | acc:0.4267 | prec0:0.4500 | prec1:0.3793 | prec2:0.4368 | recall0:0.4500  | recall1:0.2933 | recall2:0.5429
Epoch:11 | loss:0.89 | acc:0.4444 | prec0:0.4128 | prec1:0.4815 | prec2:0.4677 | recall0:0.5625  | recall1:0.3467 | recall2:0.4143
Epoch:12 | loss:1.24 | acc:0.4622 | prec0:0.4478 | prec1:0.5185 | prec2:0.4423 | recall0:0.3750  | recall1:0.3733 | recall2:0.6571
Epoch:13 | loss:1.17 | acc:0.4578 | prec0:0.4634 | prec1:0.4762 | prec2:0.4455 | recall0:0.4750  | recall1:0.2667 | recall2:0.6429
Epoch:14 | loss:0.92 | acc:0.4133 | prec0:0.4286 | prec1:0.3659 | prec2:0.4177 | recall0:0.5625  | recall1:0.2000 | recall2:0.4714
Epoch:15 | loss:0.70 | acc:0.4889 | prec0:0.4625 | prec1:0.5600 | prec2:0.4737 | recall0:0.4625  | recall1:0.3733 | recall2:0.6429
Epoch:16 | loss:1.29 | acc:0.4844 | prec0:0.5062 | prec1:0.5238 | prec2:0.4321 | recall0:0.5125  | recall1:0.4400 | recall2:0.5000
Epoch:17 | loss:0.95 | acc:0.4622 | prec0:0.5000 | prec1:0.4769 | prec2:0.4271 | recall0:0.4000  | recall1:0.4133 | recall2:0.5857
Epoch:18 | loss:0.91 | acc:0.4622 | prec0:0.4545 | prec1:0.4915 | prec2:0.4487 | recall0:0.5000  | recall1:0.3867 | recall2:0.5000
Epoch:19 | loss:0.98 | acc:0.4667 | prec0:0.4730 | prec1:0.4458 | prec2:0.4853 | recall0:0.4375  | recall1:0.4933 | recall2:0.4714
Epoch:20 | loss:1.07 | acc:0.5022 | prec0:0.5050 | prec1:0.5532 | prec2:0.4675 | recall0:0.6375  | recall1:0.3467 | recall2:0.5143
Epoch:21 | loss:1.01 | acc:0.4311 | prec0:0.4490 | prec1:0.4444 | prec2:0.4066 | recall0:0.5500  | recall1:0.2133 | recall2:0.5286
Epoch:22 | loss:0.97 | acc:0.4578 | prec0:0.4419 | prec1:0.4384 | prec2:0.5000 | recall0:0.4750  | recall1:0.4267 | recall2:0.4714
Epoch:23 | loss:1.22 | acc:0.4533 | prec0:0.4571 | prec1:0.4524 | prec2:0.4487 | recall0:0.6000  | recall1:0.2533 | recall2:0.5000
Epoch:24 | loss:1.05 | acc:0.4711 | prec0:0.5139 | prec1:0.4655 | prec2:0.4421 | recall0:0.4625  | recall1:0.3600 | recall2:0.6000
Epoch:25 | loss:1.04 | acc:0.4800 | prec0:0.5362 | prec1:0.4337 | prec2:0.4795 | recall0:0.4625  | recall1:0.4800 | recall2:0.5000
