Epoch:0 | loss:1.07 | acc:0.3289 | prec0:0.3094 | prec1:0.0000 | prec2:0.4286 | recall0:0.8000  | recall1:0.0000 | recall2:0.2647
Epoch:1 | loss:1.06 | acc:0.3333 | prec0:0.3161 | prec1:0.3500 | prec2:0.4194 | recall0:0.7857  | recall1:0.0805 | recall2:0.1912
Epoch:2 | loss:1.02 | acc:0.3200 | prec0:0.2953 | prec1:0.2581 | prec2:0.4444 | recall0:0.6286  | recall1:0.0920 | recall2:0.2941
Epoch:3 | loss:1.12 | acc:0.3600 | prec0:0.3140 | prec1:0.3760 | prec2:0.5000 | recall0:0.3857  | recall1:0.5402 | recall2:0.1029
Epoch:4 | loss:1.14 | acc:0.3467 | prec0:0.3087 | prec1:0.4545 | prec2:0.3333 | recall0:0.6571  | recall1:0.2874 | recall2:0.1029
Epoch:5 | loss:1.14 | acc:0.3333 | prec0:0.3191 | prec1:0.4211 | prec2:0.3385 | recall0:0.6429  | recall1:0.0920 | recall2:0.3235
Epoch:6 | loss:1.08 | acc:0.3200 | prec0:0.2889 | prec1:0.3818 | prec2:0.3125 | recall0:0.3714  | recall1:0.2414 | recall2:0.3676
Epoch:7 | loss:1.10 | acc:0.3467 | prec0:0.3250 | prec1:0.4000 | prec2:0.3400 | recall0:0.5571  | recall1:0.2529 | recall2:0.2500
Epoch:8 | loss:1.05 | acc:0.3156 | prec0:0.3370 | prec1:0.2593 | prec2:0.3113 | recall0:0.4429  | recall1:0.0805 | recall2:0.4853
Epoch:9 | loss:1.02 | acc:0.3378 | prec0:0.3478 | prec1:0.3051 | prec2:0.3529 | recall0:0.5714  | recall1:0.2069 | recall2:0.2647
Epoch:10 | loss:0.87 | acc:0.3422 | prec0:0.3524 | prec1:0.3333 | prec2:0.3333 | recall0:0.5286  | recall1:0.1839 | recall2:0.3529
Epoch:11 | loss:1.09 | acc:0.3289 | prec0:0.3168 | prec1:0.3571 | prec2:0.3293 | recall0:0.4571  | recall1:0.1724 | recall2:0.3971
Epoch:12 | loss:0.98 | acc:0.3600 | prec0:0.4000 | prec1:0.4127 | prec2:0.3162 | recall0:0.2571  | recall1:0.2989 | recall2:0.5441
Epoch:13 | loss:1.26 | acc:0.2978 | prec0:0.2828 | prec1:0.2800 | prec2:0.3289 | recall0:0.4000  | recall1:0.1609 | recall2:0.3676
Epoch:14 | loss:1.06 | acc:0.3422 | prec0:0.2987 | prec1:0.3836 | prec2:0.3467 | recall0:0.3286  | recall1:0.3218 | recall2:0.3824
Epoch:15 | loss:0.98 | acc:0.3511 | prec0:0.3293 | prec1:0.3860 | prec2:0.3488 | recall0:0.3857  | recall1:0.2529 | recall2:0.4412
Epoch:16 | loss:0.92 | acc:0.3644 | prec0:0.3152 | prec1:0.4068 | prec2:0.3919 | recall0:0.4143  | recall1:0.2759 | recall2:0.4265
Epoch:17 | loss:0.92 | acc:0.3644 | prec0:0.3509 | prec1:0.3793 | prec2:0.3774 | recall0:0.5714  | recall1:0.2529 | recall2:0.2941
Epoch:18 | loss:1.10 | acc:0.3689 | prec0:0.3281 | prec1:0.4412 | prec2:0.3441 | recall0:0.3000  | recall1:0.3448 | recall2:0.4706
Epoch:19 | loss:0.95 | acc:0.3733 | prec0:0.3646 | prec1:0.4194 | prec2:0.3433 | recall0:0.5000  | recall1:0.2989 | recall2:0.3382
Epoch:20 | loss:0.86 | acc:0.3200 | prec0:0.2687 | prec1:0.3750 | prec2:0.3235 | recall0:0.2571  | recall1:0.2414 | recall2:0.4853
Epoch:21 | loss:1.01 | acc:0.3467 | prec0:0.3200 | prec1:0.3889 | prec2:0.3301 | recall0:0.2286  | recall1:0.3218 | recall2:0.5000
Epoch:22 | loss:1.17 | acc:0.3422 | prec0:0.2967 | prec1:0.3797 | prec2:0.3636 | recall0:0.3857  | recall1:0.3448 | recall2:0.2941
Epoch:23 | loss:0.96 | acc:0.3778 | prec0:0.3623 | prec1:0.4239 | prec2:0.3281 | recall0:0.3571  | recall1:0.4483 | recall2:0.3088
Epoch:24 | loss:0.77 | acc:0.3378 | prec0:0.3175 | prec1:0.3654 | prec2:0.3364 | recall0:0.2857  | recall1:0.2184 | recall2:0.5441
